path,filename,ext,phase,region,data_type,data_name,date_in_filename
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-11-10.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-11-10
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-08-01.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-08-01
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-11-04.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-11-04
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-08-15.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-08-15
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-06-10.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-06-10
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-06-04.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-06-04
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-08-29.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-08-29
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-10-19.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-10-19
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-09-22.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-09-22
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-10-25.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-10-25
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-07-27.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-07-27
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-10-31.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-10-31
./江苏/电价数据/25年电网边界,实际系统负荷-2025-12-22.xls,.xls,其他,,电价/价格,实际系统负荷,2025-12-22
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-06-08.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-06-08
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-08-25.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-08-25
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-11-20.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-11-20
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-08-31.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-08-31
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-11-08.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-11-08
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-08-19.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-08-19
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-06-20.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-06-20
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-10-17.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-10-17
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-07-01.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-07-01
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-10-03.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-10-03
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-07-15.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-07-15
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-09-10.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-09-10
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-09-04.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-09-04
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-07-29.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-07-29
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-07-28.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-07-28
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-09-05.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-09-05
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-09-11.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-09-11
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-07-14.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-07-14
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-10-02.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-10-02
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-10-16.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-10-16
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-06-21.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-06-21
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-08-18.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-08-18
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-11-09.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-11-09
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-08-30.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-08-30
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-11-21.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-11-21
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-08-24.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-08-24
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-06-09.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-06-09
./江苏/电价数据/25年电网边界,实际系统负荷-2025-12-23.xls,.xls,其他,,电价/价格,实际系统负荷,2025-12-23
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-10-30.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-10-30
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-07-26.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-07-26
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-10-24.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-10-24
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-09-23.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-09-23
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-10-18.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-10-18
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-08-28.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-08-28
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-06-05.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-06-05
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-06-11.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-06-11
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-08-14.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-08-14
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-11-05.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-11-05
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-11-11.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-11-11
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-12-21.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-12-21
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-12-09.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-12-09
./江苏/电价数据/25年电网边界,实际系统负荷-2025-07-16.xls,.xls,其他,,电价/价格,实际系统负荷,2025-07-16
./江苏/电价数据/25年电网边界,实际系统负荷-2025-07-02.xls,.xls,其他,,电价/价格,实际系统负荷,2025-07-02
./江苏/电价数据/25年电网边界,实际系统负荷-2025-09-07.xls,.xls,其他,,电价/价格,实际系统负荷,2025-09-07
./江苏/电价数据/25年电网边界,实际系统负荷-2025-09-13.xls,.xls,其他,,电价/价格,实际系统负荷,2025-09-13
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-12-07.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-12-07
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-12-13.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-12-13
